UnitSymbol,UnitName,MajorGroup,UnitDescri,color,Data_source,Duplicated
Nbm,Basin-Massif Material,Basin Materials,"Basin-Massif Material, Nectarian System",e6dfcf,I-1162,FALSE
Nc,Crater Material,pre-Orientale Group,"Crater Material, Nectarian System",01abab,I-1034,TRUE
Nc,Crater Material Younger Than Nectaris Basin but Older Than Imbrium Basin,Materials of Primary Impact Craters and Their Secondary Craters,"Crater Material Younger Than Nectaris Basin but Older Than Imbrium Basin, Nectarian System",01abab,I-1162,TRUE
Nc,Material of Subdued Circular Craters,Crater Materials,"Material of Subdued Circular Craters, Nectarian System",97922e,I-0948,FALSE
Nc,Material of Subdued Craters,Crater Materials,"Material of Subdued Craters, Nectarian System",97922e,I-1047,TRUE
Nc,Material of Subdued Craters,Crater Materials,"Material of Subdued Craters, Nectarian System",97922e,I-1062,TRUE
Ncc,Material of Crater Clusters and Chains,Crater Materials,"Material of Crater Clusters and Chains, Nectarian System",c3bc6c,I-1062,TRUE
Ncc,Material of Elongate Clusters of Subdued Craters,Crater Materials,"Material of Elongate Clusters of Subdued Craters, Nectarian System",97922e,I-1047,TRUE
Ncc,Material of Subdued Crater Clusters Chains and Irregular Craters,Crater Materials,"Material of Subdued Crater Clusters Chains and Irregular Craters, Nectarian System",97922e,I-0948,FALSE
Nhb,Hertzsprung Basin Material,pre-Orientale Group,"Hertzsprung Basin Material, Nectarian System",ccce7b,I-1034,FALSE
Nhsc,Hertzsprung Secondary Crater Material,pre-Orientale Group,"Hertzsprung Secondary Crater Material, Nectarian System",ccce7b,I-1034,FALSE
Nj,Janssen Formation,Basin Materials,"Janssen Formation, Nectarian System",1f7070,I-0948,FALSE
Nj,Janssen Formation,Basin Materials,"Janssen Formation, Nectarian System",1f7070,I-1162,TRUE
Np,Highly Cratered Light Plains,Other Materials,"Highly Cratered Light Plains, Nectarian System",97c1bf,I-1047,TRUE
Np,Light Colored Plains Material,Other Terra Materials,"Light Colored Plains Material, Nectarian System",97c1bf,I-0948,FALSE
NpNbm,Material of Basin Massifs,Basin Materials,"Material of Basin Massifs, Nectarian and pre-Nectarian System",e6dfcf,I-0948,FALSE
NpNbm,Material of Humboldtianum Basin Massifs,Basin Materials,"Material of Humboldtianum Basin Massifs, Nectarian and pre-Nectarian Systems",e6dfcf,I-1062,TRUE
NpNbm,Material of Nectarian Basin Massifs,Basin Materials,"Material of Nectarian Basin Massifs, Nectarian and pre-Nectarian Systems",e6dfcf,I-1047,TRUE
NpNbr,Material of Rugged Basin Terrain,Basin Materials,"Material of Rugged Basin Terrain, Nectarian and pre-Nectarian System",d3bc93,I-0948,FALSE
NpNbr,Material of Rugged Basin Terrain,Basin Materials,"Material of Rugged Basin Terrain, Nectarian and pre-Nectarian Systems",d3bc93,I-1062,TRUE
NpNbr,Material of Rugged Mountains and Mountain Segments of Nectarian Basins,Basin Materials,"Material of Rugged Mountains and Mountain Segments of Nectarian Basins, Nectarian and pre-Nectarian Systems",d3bc93,I-1047,TRUE
NpNhf,Hilly and Furrowed Material,pre-Orientale Group,"Hilly and Furrowed Material, Nectarian and pre-Nectarian Systems",f68c65,I-1034,FALSE
NpNt,Irregular Terra,Other Materials,"Irregular Terra, Nectarian and pre-Nectarian Systems",fdd190,I-1047,TRUE
NpNt,Material of Partly Mantled Terra,Other Terra Materials,"Material of Partly Mantled Terra, Nectarian and pre-Nectarian System",fdd190,I-0948,FALSE
NpNt,Terra Material,Other Terra Materials,"Terra Material, Nectarian and pre-Nectarian Systems",fdd190,I-1062,TRUE
NpNt,Terra Material,Probable Basin-Related Materials,"Terra Material, Nectarian and pre-Nectarian Systems",fdd190,I-1162,TRUE
Nsc,Secondary-Crater Material,Materials of Primary Impact Craters and Their Secondary Craters,"Secondary-Crater Material, Nectarian System",9f7992,I-1162,FALSE
Nt,Rolling Terra,Other Materials,"Rolling Terra, Nectarian System",fdd190,I-1047,TRUE
Nt,Terra Mantling Material,Other Terra Materials,"Terra Mantling Material, Nectarian System",fdd190,I-0948,FALSE
Nt,Terra Material,Other Terra Materials,"Terra Material, Nectarian System",fdd190,I-1062,TRUE
Ntp,Terra-Mantling and Plains Material,Probable Basin-Related Materials,"Terra-Mantling and Plains Material, Nectarian System",fdd190,I-1162,FALSE
pIc,Undivided Crater Material,Undivided Crater Materials,"Undivided Crater Material, pre-Imbrian System",01abab,I-0703,FALSE
pIc1,Crater Material,Materials of Main-Sequence Craters,"Crater Material, pre-Imbrian System, broad, low-rimmed ring",01abab,I-0703,FALSE
pIc2,Crater Material,Materials of Main-Sequence Craters,"Crater Material, pre-Imbrian System, low, incomplete rim ring",01abab,I-0703,FALSE
pIc3,Crater Material,Materials of Main-Sequence Craters,"Crater Material, pre-Imbrian System, considerably subdued, raised rim ring",97922e,I-0703,FALSE
pIch,Material of Crater Clusters and Chains,Materials of Crater Chains and Clusters,"Material of Crater Clusters and Chains, pre-Imbrian System",c3bc6c,I-0703,FALSE
pIci,Irregular-Crater Material,Irregular Crater Materials,"Irregular-Crater Material, pre-Imbrian System",5475ba,I-0703,FALSE
pIj,Janssen Formation,Circumbasin Materials,"Janssen Formation, pre-Imbrian System",1f7070,I-0703,FALSE
pIl,Lineated Material,Circumbasin Materials,"Lineated Material, pre-Imbrian System",ec6e5f,I-0703,FALSE
pIp,Plains Material,Distinctive Materials,"Plains Material, pre-Imbrian System",97c1bf,I-0703,FALSE
pIr,Rugged Material,Circumbasin Materials,"Rugged Material, pre-Imbrian System",10112d,I-0703,FALSE
plr,Rugged Material,Circumbasin Materials,"Rugged Material, pre-Imbrian System",10112d,I-0703,FALSE
pNb,"Basin Material, Undivided",Basin Materials,"Basin Material, Undivided, pre-Nectarian System",6c7363,I-1162,TRUE
pNb,Pre Nectarian Basin Material,Basin Materials,"Pre Nectarian Basin Material, pre-Nectarian System",6c7363,I-1047,FALSE
pNbm,Basin Massif Material,Basin Materials,"Basin Massif Material, pre-Nectarian System",e6dfcf,I-1162,TRUE
pNbm,Material of Basin Massifs,Basin Materials,"Material of Basin Massifs, pre-Nectarian System",e6dfcf,I-0948,FALSE
pNbm,Material of Pre Nectarian Basin Massifs,Basin Materials,"Material of Pre Nectarian Basin Massifs, pre-Nectarian System",e6dfcf,I-1047,TRUE
pNbr,"Basin Material, Rugged",Basin Materials,"Basin Material, Rugged, pre-Nectarian System",d3bc93,I-1162,TRUE
pNbr,Material of Rugged Basin Terrain,Basin Materials,"Material of Rugged Basin Terrain, pre-Nectarian System",d3bc93,I-0948,FALSE
pNbr,Rugged Materials of Pre Nectarian Basins,Basin Materials,"Rugged Materials of Pre Nectarian Basins, pre-Nectarian System",d3bc93,I-1047,TRUE
pNc,Crater Material,pre-Orientale Group,"Crater Material, pre-Nectarian System",01abab,I-1034,TRUE
pNc,Crater Material Older Than Nectaris Basin,Materials of Primary Impact Craters and Their Secondary Craters,"Crater Material Older Than Nectaris Basin, pre-Nectarian System",01abab,I-1162,TRUE
pNc,Material of Highly Subdued Craters,Crater Materials,"Material of Highly Subdued Craters, pre-Nectarian System",97922e,I-1062,TRUE
pNc,Material of Highly Subdued Mostly Narrow-Rimmed Circular Craters,Crater Materials,"Material of Highly Subdued Mostly Narrow-Rimmed Circular Craters, pre-Nectarian System",97922e,I-0948,FALSE
pNc,Material of Subdued to Very Subdued Craters,Crater Materials,"Material of Subdued to Very Subdued Craters, pre-Nectarian System",97922e,I-1047,TRUE
pNcc,Material of Highly Subdued Crater Chains Clusters and Irregular Crater,Crater Materials,"Material of Highly Subdued Crater Chains Clusters and Irregular Crater, pre-Nectarian System",97922e,I-0948,FALSE
pNt,Cratered Terra,Other Materials,"Cratered Terra, pre-Nectarian System",fdd190,I-1047,TRUE
pNt,Material of Unmantled Terra,Other Terra Materials,"Material of Unmantled Terra, pre-Nectarian System",fdd190,I-0948,FALSE
pNt,Terra Material,Other Terra Materials,"Terra Material, pre-Nectarian System",fdd190,I-1062,TRUE
pNt,Terra Material,Probable Basin-Related Materials,"Terra Material, pre-Nectarian System",fdd190,I-1162,TRUE
,,,,ffffff,,
